Sweet,Bot_Control_Approve_Response
That is precisely what I was looking for,Bot_Control_Approve_Response
That is right,Bot_Control_Approve_Response
That is the proper response.,Bot_Control_Approve_Response
That is what I need,Bot_Control_Approve_Response
That's exactly what I want,Bot_Control_Approve_Response
This is alright,Bot_Control_Approve_Response
Very well. Let's do it.,Bot_Control_Approve_Response
"Yeah, that's it!",Bot_Control_Approve_Response
Yes,Bot_Control_Approve_Response
You read my mind,Bot_Control_Approve_Response
Affirmative. That's what I'm looking for.,Bot_Control_Approve_Response
All right,Bot_Control_Approve_Response
Correct,Bot_Control_Approve_Response
For sure!,Bot_Control_Approve_Response
Got it,Bot_Control_Approve_Response
Great,Bot_Control_Approve_Response
I agree,Bot_Control_Approve_Response
I like that,Bot_Control_Approve_Response
Indeed!,Bot_Control_Approve_Response
Sure thing!,Bot_Control_Approve_Response
I don't understand what you're saying,Bot_Control_Clarification
I need more information,Bot_Control_Clarification
"Let's try to say that again more clearly, shall we?",Bot_Control_Clarification
What are you referring to?,Bot_Control_Clarification
What are you saying?,Bot_Control_Clarification
What are you talking about?,Bot_Control_Clarification
What do you mean by that?,Bot_Control_Clarification
What do you mean?,Bot_Control_Clarification
Can you say that again please?,Bot_Control_Clarification
Come again?,Bot_Control_Clarification
Explains,Bot_Control_Clarification
I did not quite understand what you gave me,Bot_Control_Clarification
I didn't catch that,Bot_Control_Clarification
I didn't quite understand what you said,Bot_Control_Clarification
I didn't understand that properly,Bot_Control_Clarification
I don't get it,Bot_Control_Clarification
I don't understand,Bot_Control_Clarification
Anyone there?,Bot_Control_Confirm_Presence
You around?,Bot_Control_Confirm_Presence
Speak to me if you are there.,Bot_Control_Confirm_Presence
Is anybody home?,Bot_Control_Confirm_Presence
Is anybody here?,Bot_Control_Confirm_Presence
Where'd you go?,Bot_Control_Confirm_Presence
I am still holding,Bot_Control_Confirm_Presence
Are you on?,Bot_Control_Confirm_Presence
Are you leaving me?,Bot_Control_Confirm_Presence
Did you hear what I said?,Bot_Control_Confirm_Presence
Did you go somewhere?,Bot_Control_Confirm_Presence
Are you there?,Bot_Control_Confirm_Presence
Are you still here with me?,Bot_Control_Confirm_Presence
Are you still around?,Bot_Control_Confirm_Presence
Have I lost you?,Bot_Control_Confirm_Presence
Am I talking to someone?,Bot_Control_Confirm_Presence
Not yet,Bot_Control_Ignore_Undo
Wait! Let's back up few steps and do that again,Bot_Control_Ignore_Undo
Nothing,Bot_Control_Ignore_Undo
Never,Bot_Control_Ignore_Undo
Never mind,Bot_Control_Ignore_Undo
Let us redo that again!,Bot_Control_Ignore_Undo
It's not what I mean,Bot_Control_Ignore_Undo
Ignore this,Bot_Control_Ignore_Undo
"I didn't mean to do that actually, let's go back",Bot_Control_Ignore_Undo
I did not mean that?,Bot_Control_Ignore_Undo
I change my mind.,Bot_Control_Ignore_Undo
Hold on! I think I want to do it differently.,Bot_Control_Ignore_Undo
Cancel,Bot_Control_Ignore_Undo
"Actually, I take that back",Bot_Control_Ignore_Undo
I don't want that,Bot_Control_Reject_Response
